route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS557,18:33:00,18:33:00,5163.09,to Tower Acres and Physics,Physics Building: BUS557,40.430362,-86.913149
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS472N,18:25:02,18:25:02,2780.15,to Tower Acres and Physics,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS509SE,18:24:31,18:24:31,2613.28,to Tower Acres and Physics,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS201,18:24:00,18:24:00,2442.37,to Tower Acres and Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS011,18:19:52,18:19:52,1322.93,to Tower Acres and Physics,Aspire Apts at Discovery Park: BUS011,40.4242,-86.925359
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS201,23:54:00,23:54:00,2442.37,to Tower Acres and Physics,Jischke Dr & Stadium Ave (SE Corner): BUS201,40.4313482349232,-86.9215291144598
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS509SW,23:59:42,23:59:42,4208.78,to Tower Acres and Physics,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS472S,23:59:16,23:59:16,4082.35,to Tower Acres and Physics,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS562N,21:55:49,21:55:49,3036.67,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS562S,23:58:26,23:58:26,3838.39,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS554W,23:57:25,23:57:25,3543.92,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS553,23:57:00,23:57:00,3419.97,to Tower Acres and Physics,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS554E,23:56:34,23:56:34,3283.28,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS562N,23:55:49,23:55:49,3036.67,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS472N,23:55:02,23:55:02,2780.15,to Tower Acres and Physics,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
14C,2169f20d-8a6d-4a61-92f6-eb8a2693f471,BUS509SE,23:54:31,23:54:31,2613.28,to Tower Acres and Physics,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
14C,8233ac05-5e02-4d79-8627-958dcb08ce6f,BUS584SE,18:21:25,18:21:25,1742.0,to Tower Acres and Physics,1st St & Jischke Dr (East Corner): BUS584SE,40.4251770928608,-86.9218819988896
